time,blue,red
15:00:00,0,0
14:32:00,1,0
14:31:00,2,0
14:29:00,3,0
14:28:00,4,1
14:23:00,4,2
14:13:00,5,2
14:12:00,5,3
14:09:00,6,3
14:08:00,7,3
14:00:00,7,4
13:59:00,8,5
13:57:00,9,5
13:53:00,9,6
13:46:00,10,7
13:44:00,11,7
13:42:00,12,7
13:40:00,12,8
13:38:00,13,8
13:34:00,14,8
13:29:00,15,9
13:18:00,16,10
13:16:00,17,11
13:15:00,17,12
13:14:00,18,13
13:12:00,18,14
12:57:00,19,15
12:55:00,19,16
12:52:00,20,16
12:40:00,21,16
12:35:00,21,17
12:34:00,22,17
12:33:00,22,18
12:31:00,23,18
12:26:00,23,19
12:21:00,24,19
12:20:00,25,19
12:16:00,26,19
12:13:00,27,19
12:09:00,27,20
12:08:00,27,21
12:07:00,27,22
12:06:00,28,22
12:04:00,29,23
12:00:00,30,23
11:58:00,31,23
11:54:00,32,24
11:40:00,33,24
11:39:00,33,25
11:34:00,33,26
11:32:00,33,27
11:29:00,34,27
11:27:00,34,28
11:20:00,34,29
11:16:00,35,29
11:10:00,36,29
11:09:00,37,29
11:08:00,38,29
11:01:00,39,29
11:00:00,40,29
10:58:00,41,30
10:57:00,41,31
10:56:00,42,31
10:50:00,42,32
10:49:00,42,33
10:48:00,43,33
10:45:00,43,34
10:42:00,44,34
10:35:00,45,34
10:27:00,46,34
10:25:00,47,34
10:23:00,48,34
10:22:00,49,34
10:21:00,50,34
10:18:00,51,34
10:06:00,52,34
10:01:00,53,34
10:00:00,54,34
09:59:00,55,34
09:57:00,56,35
09:56:00,56,36
09:53:00,56,37
09:51:00,57,37
09:47:00,58,38
09:45:00,59,38
09:44:00,60,38
09:42:00,60,39
09:37:00,60,40
09:35:00,61,41
09:31:00,61,42
09:30:00,62,42
09:28:00,63,42
09:23:00,63,43
09:21:00,63,44
09:20:00,64,45
09:18:00,65,45
09:16:00,66,45
09:13:00,67,45
09:10:00,68,46
09:09:00,68,47
09:01:00,69,47
09:00:00,70,47
08:50:00,70,48
08:47:00,70,49
08:43:00,71,49
08:42:00,72,49
08:41:00,72,50
08:38:00,72,51
08:36:00,73,51
08:29:00,74,51
08:27:00,74,52
08:25:00,75,52
08:24:00,76,52
08:20:00,77,52
08:18:00,77,53
08:12:00,78,53
08:11:00,78,54
08:10:00,78,55
08:09:00,79,55
08:07:00,80,55
07:59:00,81,55
07:55:00,81,56
07:54:00,81,57
07:49:00,82,57
07:45:00,83,57
07:43:00,84,58
07:41:00,85,58
07:38:00,85,59
07:32:00,85,60
07:29:00,86,60
07:24:00,87,60
07:23:00,88,60
07:17:00,89,60
07:12:00,90,60
07:07:00,91,60
07:02:00,91,61
06:59:00,92,61
06:51:00,93,61
06:44:00,93,62
06:42:00,94,63
06:41:00,95,63
06:39:00,96,63
06:34:00,96,64
06:33:00,96,65
06:29:00,97,65
06:22:00,97,66
06:20:00,97,67
06:18:00,97,68
06:09:00,98,68
06:07:00,99,69
06:06:00,100,69
